-1.0000000000000000E+000 +2.0849742323891295E-038 +2.7521257946624258E-035 -3.7465295329423068E-003 +8.8494479662290793E-006 -6.9515772616066213E-006 +3.5701498624285460E-003
-9.9879545620517252E-001 -5.7840174488555877E-025 +2.2040759784534753E-007 -3.6143209379234549E-003 -4.3184980127977960E-006 +6.9828626069971063E-005 +3.5340749327445247E-003
-9.9518472667219682E-001 +2.2189775114639548E-023 +1.4718940738582752E-005 -3.3613073842385273E-003 +2.3331622102220050E-005 +1.9581035670779669E-004 +3.1307780567911758E-003
-9.8917650996478079E-001 +2.8041304086640690E-022 +1.7173325734777984E-004 -3.1483580980383938E-003 +1.9589345630713730E-004 +2.8219957003970241E-004 +2.4962609453500571E-003
-9.8078528040323043E-001 -3.8705561225895019E-022 +8.7651264512458762E-004 -2.8618948517376685E-003 +8.1970567516870133E-004 +2.4073898846568311E-004 +9.1895287070588652E-004
-9.7003125319454409E-001 -2.2937748113060034E-021 +2.3564158621701158E-003 -2.4863077722950093E-003 +1.1414789396762084E-003 +1.4492020892841476E-004 -1.1600022855029586E-003
-9.5694033573220905E-001 +1.3871775522795872E-021 +3.6486336375787065E-003 -2.4036974145133757E-003 +2.6795806776740264E-004 +2.1360961932987924E-005 -1.5336441762274324E-003
-9.4154406518302070E-001 +4.7080295204423163E-022 +3.8269168713440764E-003 -2.3915547128816575E-003 -6.2899476796587526E-004 -5.8777382935401823E-005 -7.4859482955165458E-004
-9.2387953251128663E-001 -7.9725331434726546E-023 +3.2729224838358283E-003 -2.1848067939034882E-003 -7.7586384812440394E-004 -8.5275039779615189E-005 -2.2267312038313711E-004
-9.0398929312344323E-001 -4.0436252632947264E-022 +2.5875352930711643E-003 -1.8747244471574507E-003 -5.9351530306336214E-004 -6.4516382210797304E-005 -4.9284270104173753E-005
-8.8192126434835483E-001 +1.2684972416613535E-022 +2.0039567842737296E-003 -1.5741235830174002E-003 -3.9412932187869048E-004 -2.0545188180260305E-005 -5.8735385559474402E-006
-8.5772861000027212E-001 +1.2822978468100113E-022 +1.5613197805835932E-003 -1.3153752265014087E-003 -2.5493493779715201E-004 +9.0780797075738984E-006 -1.2217992306755993E-006
-8.3146961230254535E-001 +1.0291312653213264E-022 +1.2358813328056050E-003 -1.1033743733560163E-003 -1.5384192947461565E-004 +2.5830400116236504E-005 +3.0026264461829009E-006
-8.0320753148064483E-001 -3.2555558579852920E-022 +9.9334232303910667E-004 -9.2996775379729257E-004 -8.6665039701815116E-005 +2.5646705472151909E-005 +2.9411280418096966E-006
-7.7301045336273710E-001 +2.9762815126381061E-022 +8.1169020244064411E-004 -7.8887141458594968E-004 -4.1022685540020667E-005 +2.5783387832689236E-005 +8.3278404209804514E-007
-7.4095112535495899E-001 -2.8267795971691247E-022 +6.7930724521937083E-004 -6.7512227390874140E-004 -2.4485905757266489E-005 +1.9034992931695579E-005 +3.7998397949457917E-006
-7.0710678118654746E-001 +2.0397355896367745E-022 +5.7534017135048201E-004 -5.8061581457394241E-004 -3.6284589194191659E-007 +1.2699495476265844E-005 +8.7626720959247534E-007
-6.7155895484701844E-001 +4.7444415079059105E-022 +4.9114956141757895E-004 -5.0217766053595246E-004 +1.4472906883157820E-005 +6.6603118283194463E-007 +1.0185287278204058E-006
-6.3439328416364527E-001 -1.5060221245575044E-022 +4.2206592165540716E-004 -4.3536641986322445E-004 +2.2844053441276022E-005 -4.4238248995479487E-006 +7.7162790493355646E-007
-5.9569930449243325E-001 -4.2675743206723550E-024 +3.6502235941694104E-004 -3.7821752364054729E-004 +2.5365382336813141E-005 -9.4125773661863436E-006 +7.1767840736762251E-007
-5.5557023301960184E-001 -1.8205357003612641E-022 +3.1600243773074777E-004 -3.2890370661041972E-004 +2.6137176213977130E-005 -9.8583525859835397E-006 +1.1200824872189489E-006
-5.1410274419322155E-001 -1.5786109045401360E-022 +2.7370502785494579E-004 -2.8677083525247861E-004 +2.6929753701942660E-005 -1.2845958546639269E-005 +1.9155406657574560E-006
-4.7139673682599764E-001 -1.4568314676697574E-023 +2.3284725054076346E-004 -2.4966448665551225E-004 +2.9200805980397262E-005 -1.0170036105739100E-005 +1.9491335933038501E-006
-4.2755509343028186E-001 +4.8642734009076502E-022 +1.9485841808216962E-004 -2.1713572924951481E-004 +3.5089843234067413E-005 -1.3366243238948830E-005 +1.7434819982653157E-006
-3.8268343236508973E-001 +1.0096711307531978E-022 +1.6028122202816085E-004 -1.8843961430692078E-004 +4.0712820956902379E-005 -1.1905811754974805E-005 +1.9804056509474348E-006
-3.3688985339222000E-001 +1.0876522445547668E-022 +1.2905767334722633E-004 -1.6380667079335192E-004 +4.7167147328857905E-005 -1.3531046449068492E-005 +1.8658622839141492E-006
-2.9028467725446222E-001 +7.7718730863326345E-023 +9.9800293127998003E-005 -1.4239909528972525E-004 +5.4199230261932054E-005 -1.1869845787317242E-005 +2.5385817780356672E-006
