-1.0000000000000000E+000 +1.3928032368185857E-016 +7.7347528284106518E-035 +8.3290548996641346E-020 +2.7218348904964039E-015 +1.3370279611460081E-017 +1.0284125313967763E-016 -3.2240812119715663E-036 +2.4971784058280571E-034 +1.1149811737602959E-036 -3.1143760690182927E-003 +6.8611254268795277E-034 -8.5350782647040777E+000 +2.1157069611656127E+000 +3.2917162654123996E-015 +3.3554743469192343E+000 +1.4860732485411630E-016 +3.7587012854499637E-003 +7.1416319568936270E-022 +2.9037137237523056E-023 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -3.5507562010185414E-002 +4.7978737727365797E+000
-9.9879545620517252E-001 +1.0274685225850627E-002 -3.1620271384546597E-023 -3.7517217386924082E-006 +4.0312670092886374E-003 +2.4238316130649376E-005 +2.4791682771979906E-003 -2.5855024625311403E-008 +2.2692564232532775E-008 -2.1944196127672270E-011 -3.1198130028638076E-003 +9.9261673506363321E-021 -8.5247517455992927E+000 +2.0028727892954281E+000 +6.0403988167001182E-002 +3.3400082823223376E+000 +2.8843908408405671E-009 +3.7545037071381702E-003 +1.7619261953879462E-006 -4.1160611404108982E-008 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +1.0966585159928741E+000 +4.7978737727365797E+000
-9.9518472667219682E-001 +4.0991775659651140E-002 +3.2229024616597341E-022 -1.5060884459313444E-005 +1.6034389646252450E-002 +3.5536084427020766E-004 +9.1501562103394884E-003 -1.7343008602559012E-006 +3.6882275201735033E-007 -1.6076583087107568E-009 -3.1297501155383317E-003 +5.6115932755597397E-021 -8.4869621571770999E+000 +1.7072275503476286E+000 +2.4162663932201128E-001 +3.3215917787626750E+000 -1.2209957720738756E-007 +3.7463790924663668E-003 +6.5847940971774518E-006 -5.4765696060520896E-007 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +1.1272999573896516E+000 +4.8622847233915385E+000
-9.8917650996478079E-001 +9.1651606061005156E-002 +2.0125304303415163E-021 -3.3952993503987740E-005 +3.5734004759430352E-002 +1.5615478010101965E-003 +1.8131157638283740E-002 -2.0549716289964451E-005 +1.9174944407071544E-006 -2.1595908646049983E-008 -3.2127687457923237E-003 -1.6623021589865644E-019 -8.3569682572360762E+000 +1.3256072152895491E+000 +5.4161603845315276E-001 +3.2903128607388181E+000 -2.4512234095205433E-006 +3.7478763975501298E-003 +1.2122027680401298E-005 -2.0480378146867733E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +1.1384186679941604E+000 +4.8249516143764906E+000
-9.8078528040323043E-001 +1.6014505148353533E-001 -1.9322939109238726E-021 -6.2864293773697724E-005 +6.1455956567222483E-002 +4.0831421144104157E-003 +2.7284068735990159E-002 -1.1085901709971829E-004 +5.7728398728689379E-006 -1.2479297451213646E-007 -3.7100631936533997E-003 -2.1451109389215156E-019 -7.9065567334588556E+000 +1.0552499401734392E+000 +9.3669066759068287E-001 +3.0778664465213232E+000 -1.6638831692079503E-005 +3.7742366984668276E-003 +1.5166637756104803E-005 -4.3162544653484786E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +1.0574867128641536E+000 +4.3846067726226536E+000
-9.7003125319454409E-001 +2.3980229717384205E-001 -1.2268742845386506E-020 -1.0753562279725252E-004 +8.7036800947782211E-002 +7.9437887517004608E-003 +3.5153424802338691E-002 -3.4488652270573674E-004 +1.0327493365642720E-005 -3.5733832284200760E-007 -4.6763660091887248E-003 -6.6545025918665970E-020 -6.8324430735307091E+000 +1.1125715795860740E+000 +1.3364663027337149E+000 +2.6138856341511754E+000 -6.3051795562100399E-005 +3.8384812690534743E-003 +1.4849649498168779E-005 -6.3860871247541677E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +8.3974601750598798E-001 +3.5504173150567961E+000
-9.5694033573220905E-001 +3.1886521561487841E-001 +1.3890016845990441E-020 -1.7602177113371857E-004 +1.0390031141635120E-001 +1.2805844583535793E-002 +4.1331158068550228E-002 -6.9464309586777444E-004 +1.0300844057888158E-005 -5.1120612536219463E-007 -5.5201098401559730E-003 +1.5331296345302836E-019 -5.2525339720459749E+000 +1.3066637841349693E+000 +1.6067481829107482E+000 +2.3164479377013616E+000 -1.6370060460681467E-004 +3.9296263313240085E-003 +1.5271632741875608E-005 -7.4693765572931077E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +5.5578175957101461E-001 +2.8423255335195203E+000
-9.4154406518302070E-001 +3.8729983793490041E-001 +2.0302320954501511E-020 -2.5342683152851478E-004 +1.0949456376909196E-001 +1.8141134642949874E-002 +4.5870367864742807E-002 -1.0268785539527660E-003 +6.1376499848036093E-006 -2.2229861846845752E-007 -4.2274372365766460E-003 +6.9287295085401768E-019 -3.7267482083120465E+000 +1.4377553817000592E+000 +1.6929297799140066E+000 +2.2178951049895410E+000 -3.2975160350759100E-004 +4.0301267445562823E-003 +1.9553171414646373E-005 -7.0568877293551186E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +2.9673551986648022E-001 +2.4925347984177946E+000
-9.2387953251128663E-001 +4.4231125689315071E-001 +7.9409338805090657E-021 -3.0543163860971459E-004 +1.0769858500278034E-001 +2.3352554439862380E-002 +4.8889029486945533E-002 -1.2600096836666407E-003 +2.0646356452197815E-006 +5.4532484379435778E-007 -1.5061820100803040E-003 -2.2573428044327104E-019 -2.5975369117427141E+000 +1.4854411700578933E+000 +1.6454045648932671E+000 +2.0769887143096137E+000 -5.4501857241295989E-004 +4.1093276217347291E-003 +2.7245029823517097E-005 -5.7414357448291545E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +9.7156861394216407E-002 +2.4000349864134187E+000
-9.0398929312344323E-001 +4.8588550428782590E-001 +2.1916977510205021E-020 -2.9936491636540287E-004 +1.0283410130589948E-001 +2.7927213474524790E-002 +5.0616357758945789E-002 -1.3976057734699731E-003 -2.8729151496007758E-006 +1.2678192914676191E-006 +1.9126199089633822E-003 +1.0693790959085542E-019 -1.8514074333731794E+000 +1.4687635969813559E+000 +1.5362358870258865E+000 +1.8827866479015791E+000 -7.8094370969253562E-004 +4.1520472436218344E-003 +3.5238726311399469E-005 -4.1495077273956826E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -4.7641487220830073E-002 +2.4321657459456145E+000
-8.8192126434835483E-001 +5.2090601859499774E-001 -6.9880218148479778E-021 -2.4388329504981327E-004 +9.7250544473773376E-002 +3.1596432616121967E-002 +5.1359113947948155E-002 -1.4690399834295189E-003 -4.2203580617791573E-006 +1.5214084102408997E-006 +2.5190568469911556E-003 +3.5849676875803198E-019 -1.3641293902087623E+000 +1.4144526801703254E+000 +1.4109469910887291E+000 +1.6837815628432207E+000 -9.9897773230376132E-004 +4.1449762095841693E-003 +4.1997936365782489E-005 -3.2568992386792756E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -1.5254968750871983E-001 +2.5187268923221735E+000
-8.5772861000027212E-001 +5.4969864524967782E-001 -8.0468129989158532E-021 -1.9156660415333175E-004 +9.1885229876274704E-002 +3.4334601047128044E-002 +5.1451056527002659E-002 -1.4970639731392372E-003 +2.8599920927278557E-006 +1.1461043479788651E-006 +1.9765926415612114E-003 +1.5521878758435054E-019 -1.0429227300761459E+000 +1.3411459990586052E+000 +1.2897413229763268E+000 +1.4995575482637400E+000 -1.1815959956788043E-003 +4.0957374629292959E-003 +4.6747827488577962E-005 -3.1214255133496518E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -2.2574634286596129E-001 +2.6150087265736475E+000
-8.3146961230254535E-001 +5.7403006826535985E-001 -7.5174174068819155E-021 -1.4106201090398186E-004 +8.6990244019462079E-002 +3.6240331630669170E-002 +5.1091687106141093E-002 -1.4958065961147478E-003 +1.1935842042108186E-005 +9.8248216506183649E-007 +1.7269774669697534E-003 -1.7194768829262297E-019 -8.2623183554631041E-001 +1.2599644775639747E+000 +1.1779364020391412E+000 +1.3445252778156129E+000 -1.3158360040374816E-003 +4.0090676522956375E-003 +4.8997592054185577E-005 -3.6520503512314820E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -2.7486654664626031E-001 +2.7008182251360884E+000
-8.0320753148064483E-001 +5.9507139748395710E-001 +2.8479828490200743E-020 -1.0924162487415679E-004 +8.2708749961722408E-002 +3.7433380985503709E-002 +5.0419719772563501E-002 -1.4760766330067074E-003 +1.5086450863635269E-005 +3.0559344668691644E-007 +3.5168167736216376E-004 +6.0245218373462112E-020 -6.7296128689966850E-001 +1.1769730549850768E+000 +1.0790238868778703E+000 +1.2083620034833258E+000 -1.4054123274960916E-003 +3.8950453190078915E-003 +4.8946853949327932E-005 -4.3664644686964617E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -3.0908553349373469E-001 +2.7683378344550289E+000
-7.7301045336273710E-001 +6.1361782124656439E-001 -2.9629609541649451E-020 -1.3715532691073296E-004 +7.8967652572059580E-002 +3.8066960618263063E-002 +4.9548967641955474E-002 -1.4419481873826101E-003 +1.8373353213936745E-005 -8.1260803916584747E-007 -2.3615608242433289E-003 +1.1159659080075407E-019 -5.6291351420699764E-001 +1.0960387945474082E+000 +9.9394872897984932E-001 +1.0903349124142629E+000 -1.4528237901414445E-003 +3.7615023740350385E-003 +4.7708514223095350E-005 -5.1767035563066315E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -3.3515175821201526E-001 +2.8173597798994376E+000
-7.4095112535495899E-001 +6.3035583954733132E-001 +3.2081372877256625E-020 -2.4859345148515359E-004 +7.5572298181659850E-002 +3.8292983974906644E-002 +4.8550102578565374E-002 -1.3963836786803228E-003 +1.8813606800797663E-005 -1.8018540737841725E-006 -4.0795937503147004E-003 -1.2832549150902650E-019 -4.8648133491075118E-001 +1.0219623798415753E+000 +9.1930592669779421E-001 +9.9668697184596211E-001 -1.4709928487495003E-003 +3.6228953229578728E-003 +4.5845040563491672E-005 -5.8764940330116571E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -3.5641476781299003E-001 +2.8522366851875884E+000
-7.0710678118654746E-001 +6.4579624458991547E-001 -2.6337430703688401E-020 -3.8884093003994718E-004 +7.2544358908859102E-002 +3.8176982653056898E-002 +4.7515936496248398E-002 -1.3425711959437585E-003 +1.8965017531294578E-005 -2.5497581235837831E-006 -4.3605880755953012E-003 +6.1833405149563925E-020 -4.2854434203089647E-001 +9.5296100671351647E-001 +8.5391787490598881E-001 +9.1534009295336061E-001 -1.4613859162166340E-003 +3.4802689341429365E-003 +4.3531777408423525E-005 -6.4478236558112605E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -3.7320494622232708E-001 +2.8803814249031863E+000
-6.7155895484701844E-001 +6.6017993615705350E-001 -6.6545025918665970E-020 -5.5784054701848822E-004 +6.9790500599164251E-002 +3.7755051470976915E-002 +4.6414669194902676E-002 -1.2821883718505186E-003 +2.1267484460820905E-005 -3.0691224582789075E-006 -4.6963212385658613E-003 +4.7603251635691679E-019 -3.8306693913757062E-001 +8.8727553607902776E-001 +7.9560747987718849E-001 +8.4301462440054531E-001 -1.4288867872202116E-003 +3.3358227480350280E-003 +4.0676670158398083E-005 -6.6576678736252361E-006 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 +0.0000000000000000E+000 -3.8664016777123522E-001 +2.9020527069466455E+000
